PROVINCIA,POB,ESP_VIDA,INGRESOS
CHACHAPOYAS,55806.7687366167,72.3167073794572,944.577067944468
CHACHAPOYAS,33038.2526766595,72.1926744669432,1259.13024410749
ASUNCION,267.447537473233,71.3645527466904,561.102633723053
BALSAS,1467.03426124197,68.5944049111095,415.021047031989
CHETO,584.745182012848,77.5282524573277,398.663339100127
CHILIQUIN,390.717344753748,72.4601514868895,325.930530885032
CHUQUIBAMBA,1788.53319057816,67.0141614304692,267.387502990936
GRANADA,337.124197002141,66.1818356426764,766.805716380991
HUANCAS,1456.86937901499,73.0625982384271,525.798289065862
LA JALCA,4279.40256959315,73.0945019998728,305.71470085523
LEIMEBAMBA,3854.69807280514,70.2994794794931,615.853240928451
LEVANTO,671.434689507495,76.452349323518,418.124223201506
MAGDALENA,686.873661670236,71.6224137748989,848.552390203949
MARISCAL CASTILLA,1003.50321199143,69.2951089801702,752.318103837542
MOLINOPAMPA,2443.42398286938,70.2756635847701,529.848193296734
MONTEVIDEO,374.430406852248,71.2594914138537,737.662341492926
OLLEROS,351.51391862955,71.9383295919533,435.895411960818
QUINJALCA,639.505353319058,73.3224382929002,494.980852910247
SAN FRANCISCO DE DAGUAS,304.591006423983,71.22268398592,831.258825888918
SAN ISIDRO DE MAINO,594.522483940043,69.7964962203856,426.209374114065
SOLOCO,1075.6852248394,74.3971235512294,481.788670557055
SONCHE,196.460385438972,74.2536355612902,641.308127019805
BAGUA,70180.4485091942,73.677103667733,732.507276695359
BAGUA,26946.7882352941,73.0256369623969,1074.01502532359
ARAMANGO,7776.79657387581,73.2421344364118,535.806154300649
COPALLIN,4604.99785867238,74.2191520463262,859.418730417437
EL PARCO,1380.37687366167,74.3330577871306,801.145916304229
IMAZA,23141.721627409,73.0658634878993,309.139890644212
LA PECA,6329.76734028119,71.5071158519013,960.86379988916
BONGARÁ,31540.8565310492,70.8969326610387,646.05034319407
JUMBILLA,1508.66809421842,70.1685816641876,759.009687046202
CHISQUILLA,283.374732334047,71.5418977985957,797.751145325698
CHURUJA,244.676659528908,64.3844584280216,950.346360732489
COROSHA,1042.30620985011,73.3036035222919,669.159808866137
CUISPES,777.543897216274,67.5969043834859,354.423979519577
